"Timestamp","Gender","Age","How frequently do you use mobile flight booking applications?","How easy do you find it to navigate through mobile flight booking applications?","How satisfied are you with the clarity of information provided during flight booking process?","Do you often struggle to find flights that match your preferences like times, stops, airlines by using app's search function ?","Do you find the details provided for flights like layover duration, baggage fees, total travel time not clear ? ","Do you find the process to select a flight and proceed to booking is overly complicated ? ","
Do you find that final price at checkout often includes unexpected charges ?","
Do you find customer support through the app challenging ? ","The app does not offer personalized flight recommendations based on my previous bookings. ","Flight booking apps do not sufficiently support accessibility features for users with disabilities. ","Do you find the mobile check-in process is complicated. ","How likely are you to use a voice-activated interface for searching and booking flights within a mobile app? ","How do you prioritize features of mobile flight booking application? Choose from most to least priority features. [1]","How do you prioritize features of mobile flight booking application? Choose from most to least priority features. [2]","How do you prioritize features of mobile flight booking application? Choose from most to least priority features. [3]","How do you prioritize features of mobile flight booking application? Choose from most to least priority features. [4]","How do you prioritize features of mobile flight booking application? Choose from most to least priority features. [5]","What improvements or changes would you suggest to enhance your experience with the mobile flight booking application ?"
"2024/04/17 2:18:27 PM GMT+1","Male","26-35","Frequently","Very difficult","Extremely dissatisfied","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Likely","Personalization","Simplified Booking Process","Performance","Information Clarity","Easy Navigation","Need smooth and newly designed application with best performance. "
"2024/04/17 2:45:21 PM GMT+1","Male","18-25","Sometimes","Neutral","Extremely satisfied","Strongly Agree","Strongly Disagree","Neutral","Strongly Agree","Disagree","Neutral","Disagree","Strongly Disagree","Highly likely","Performance","Personalization","Simplified Booking Process","Information Clarity","Easy Navigation","Swift respond with flight cancellations refund
"
"2024/04/17 3:05:22 PM GMT+1","Male","26-35","Sometimes","Very easy","Extremely satisfied","Agree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Neutral","Simplified Booking Process","Performance","Information Clarity","Personalization","Easy Navigation",""
"2024/04/17 3:09:21 PM GMT+1","Male","26-35","Sometimes","Very easy","Somewhat satisfied","Agree","Agree","Agree","Neutral","Agree","Agree","Neutral","Neutral","Likely","Easy Navigation","Information Clarity","Performance","Simplified Booking Process","Personalization","N/A"
"2024/04/17 5:23:44 PM GMT+1","Male","36-45","Frequently","Somewhat easy","Somewhat satisfied","Agree","Agree","Agree","Agree","Neutral","Agree","Neutral","Agree","Likely","Personalization","Performance","Information Clarity","Easy Navigation","Simplified Booking Process",""
"2024/04/17 6:21:46 PM GMT+1","Male","26-35","Rarely","Somewhat easy","Somewhat satisfied","Neutral","Disagree","Disagree","Disagree","Disagree","Neutral","Neutral","Disagree","Likely","Easy Navigation","Information Clarity","Simplified Booking Process","Performance","Personalization",""
"2024/04/17 7:51:53 PM GMT+1","Female","18-25","Sometimes","Somewhat easy","Somewhat satisfied","Strongly Agree","Neutral","Agree","Agree","Agree","Strongly Agree","Neutral","Neutral","Highly likely","Easy Navigation","Information Clarity","Simplified Booking Process","Performance","Personalization","Simplified booking process will help save time. Suggestions about hotels near destination would also be helpful. "
"2024/04/17 11:30:01 PM GMT+1","Male","26-35","Frequently","Very easy","Extremely satisfied","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Likely","Easy Navigation","Information Clarity","Performance","Simplified Booking Process","Personalization","Very fast "
"2024/04/18 10:25:41 AM GMT+1","Male","26-35","Rarely","Somewhat difficult","Neutral","Disagree","Disagree","Agree","Neutral","Agree","Neutral","Agree","Neutral","Unlikely","Simplified Booking Process","Personalization","Information Clarity","Easy Navigation","Performance",""
"2024/04/18 10:59:40 AM GMT+1","Male","26-35","Frequently","Very easy","Extremely satisfied","Disagree","Disagree","Disagree","Strongly Disagree","Neutral","Neutral","Disagree","Disagree","Neutral","Information Clarity","Easy Navigation","Performance","Simplified Booking Process","Personalization","Offer real time updates "
"2024/04/18 2:22:12 PM GMT+1","Female","36-45","Rarely","Somewhat difficult","Neutral","Disagree","Neutral","Agree","Agree","Strongly Disagree","Agree","Agree","Strongly Disagree","Highly unlikely","Easy Navigation","Performance","Simplified Booking Process","Personalization","Information Clarity",""
"2024/04/18 2:37:18 PM GMT+1","Male","26-35","Sometimes","Neutral","Somewhat satisfied","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Likely","Easy Navigation","Information Clarity","Performance","Simplified Booking Process","Personalization","None"
"2024/04/18 3:28:22 PM GMT+1","Male","26-35","Frequently","Very easy","Somewhat satisfied","Strongly Agree","Neutral","Disagree","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Agree","Unlikely","Personalization","Simplified Booking Process","Information Clarity","Performance","Easy Navigation",""
"2024/04/18 7:04:49 PM GMT+1","Male","26-35","Rarely","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Information Clarity","Easy Navigation","Performance","Simplified Booking Process","Personalization",""
"2024/04/18 8:15:16 PM GMT+1","Female","26-35","Sometimes","Somewhat easy","Somewhat satisfied","Neutral","Neutral","Agree","Neutral","Strongly Agree","Agree","Neutral","Neutral","Likely","Information Clarity","Easy Navigation","Performance","Simplified Booking Process","Personalization",""
"2024/04/19 11:30:24 AM GMT+1","Male","36-45","Rarely","Somewhat difficult","Somewhat dissatisfied","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Likely","Information Clarity","Easy Navigation","Simplified Booking Process","Performance","Personalization","in my opinion,this app should be modified and easy way should be made so that people can easily get whatever they from this app.and further they need to give proper guideline so that everyone can easily understand."
"2024/04/20 1:42:27 PM GMT+1","Male","26-35","Rarely","Very easy","Somewhat satisfied","Agree","Agree","Agree","Neutral","Agree","Agree","Neutral","Agree","Neutral","Information Clarity","Performance","Easy Navigation","Simplified Booking Process","Personalization",""
"2024/04/23 3:01:59 PM GMT+1","Female","26-35","Rarely","Somewhat easy","Somewhat satisfied","Neutral","Neutral","Disagree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Personalization","Easy Navigation","Information Clarity","Simplified Booking Process","Performance",""
"2024/04/23 3:24:48 PM GMT+1","Male","26-35","Frequently","Very easy","Extremely satisfied","Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Neutral","Performance","Simplified Booking Process","Information Clarity","Easy Navigation","Personalization","Nothing "
"2024/04/23 3:53:04 PM GMT+1","Male","26-35","Sometimes","Very easy","Extremely satisfied","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Highly likely","Easy Navigation","Information Clarity","Performance","Simplified Booking Process","Personalization","Support multiple OS"
"2024/04/24 9:00:37 AM GMT+1","Male","26-35","Frequently","Very easy","Extremely satisfied","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Highly likely","Easy Navigation","Information Clarity","Performance","Simplified Booking Process","Personalization",""
"2024/04/24 11:59:26 PM GMT+1","Male","26-35","Rarely","Very difficult","Extremely dissatisfied","Disagree","Disagree","Neutral","Disagree","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Highly unlikely","Easy Navigation","Information Clarity","Performance","Simplified Booking Process","Personalization","Please draw the wire farmes according to the user requirement"
"2024/05/03 4:37:25 PM GMT+1","Male","26-35","Sometimes","Somewhat easy","Somewhat satisfied","Agree","Neutral","Neutral","Neutral","Agree","Disagree","Agree","Disagree","Neutral","Information Clarity","Easy Navigation","Personalization","Simplified Booking Process","Performance",""
"2024/05/03 4:42:23 PM GMT+1","Male","18-25","Rarely","Neutral","Somewhat satisfied","Agree","Disagree","Disagree","Agree","Neutral","Neutral","Disagree","Disagree","Neutral","Easy Navigation","Information Clarity","Performance","Simplified Booking Process","Personalization",""
"2024/05/03 5:58:22 PM GMT+1","Male","26-35","Sometimes","Neutral","Neutral","Strongly Agree","Agree","Agree","Agree","Disagree","Disagree","Neutral","Agree","Unlikely","Simplified Booking Process","Personalization","Performance","Information Clarity","Easy Navigation",""
"2024/05/03 6:04:00 PM GMT+1","Male","26-35","Rarely","Neutral","Extremely satisfied","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Likely","Easy Navigation","Information Clarity","Performance","Simplified Booking Process","Personalization","Ggtt"
"2024/05/03 6:14:20 PM GMT+1","Female","26-35","Rarely","Somewhat easy","Somewhat satisfied","Agree","Neutral","Neutral","Disagree","Disagree","Neutral","Neutral","Neutral","Neutral","Easy Navigation","Personalization","Information Clarity","Performance","Simplified Booking Process","Nil"
"2024/05/03 6:19:02 PM GMT+1","Male","18-25","Frequently","Very easy","Neutral","Agree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Agree","Likely","Easy Navigation","Information Clarity","Performance","Simplified Booking Process","Personalization",""
"2024/05/03 6:31:23 PM GMT+1","Female","18-25","Sometimes","Very easy","Somewhat satisfied","Agree","Agree","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Highly likely","Simplified Booking Process","Personalization","Easy Navigation","Performance","Information Clarity",""
"2024/05/03 6:59:04 PM GMT+1","Male","18-25","Rarely","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Simplified Booking Process","Information Clarity","Easy Navigation","Personalization","Performance","interface "
"2024/05/03 8:40:16 PM GMT+1","Female","26-35","Sometimes","Somewhat difficult","Neutral","Neutral","Agree","Neutral","Disagree","Neutral","Neutral","Agree","Neutral","Neutral","Easy Navigation","Information Clarity","Personalization","Performance","Simplified Booking Process",""
"2024/05/03 8:50:48 PM GMT+1","Female","18-25","Sometimes","Very easy","Somewhat satisfied","Agree","Agree","Disagree","Disagree","Agree","Strongly Disagree","Agree","Disagree","Likely","Information Clarity","Easy Navigation","Performance","Simplified Booking Process","Personalization","Yes"
"2024/05/03 10:53:36 PM GMT+1","Male","46 and above","Rarely","Neutral","Somewhat dissatisfied","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Personalization","Simplified Booking Process","Performance","Information Clarity","Easy Navigation",""
"2024/05/04 3:33:17 AM GMT+1","Male","18-25","Frequently","Very easy","Somewhat satisfied","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Neutral","Strongly Agree","Neutral","Information Clarity","Simplified Booking Process","Performance","Personalization","Easy Navigation","Complete information is necessary. "
"2024/05/04 6:04:53 AM GMT+1","Female","18-25","Rarely","Neutral","Somewhat satisfied","Neutral","Disagree","Disagree","Disagree","Neutral","Disagree","Disagree","Disagree","Likely","Information Clarity","Performance","Personalization","Simplified Booking Process","Easy Navigation","Information clarity "
"2024/05/04 3:31:41 PM GMT+1","Male","36-45","Rarely","Very easy","Extremely satisfied","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Highly likely","Easy Navigation","Personalization","Information Clarity","Simplified Booking Process","Performance","Love 💓"
"2024/05/04 3:32:10 PM GMT+1","Female","18-25","Frequently","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Easy Navigation","Performance","Information Clarity","Simplified Booking Process","Personalization",""
"2024/05/04 3:32:14 PM GMT+1","Male","18-25","Frequently","Neutral","Somewhat dissatisfied","Agree","Disagree","Disagree","Agree","Neutral","Agree","Neutral","Disagree","Highly likely","Easy Navigation","Information Clarity","Performance","Simplified Booking Process","Personalization",""
"2024/05/04 3:33:57 PM GMT+1","Female","18-25","Sometimes","Somewhat easy","Somewhat satisfied","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Likely","Easy Navigation","Information Clarity","Performance","Simplified Booking Process","Personalization",".."
"2024/05/04 3:34:03 PM GMT+1","Male","18-25","Sometimes","Somewhat difficult","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Agree","Neutral","Easy Navigation","Performance","Simplified Booking Process","Personalization","Information Clarity","Nothing "
"2024/05/04 3:34:29 PM GMT+1","Female","26-35","Sometimes","Very easy","Extremely satisfied","Neutral","Neutral","Disagree","Agree","Agree","Agree","Agree","Strongly Disagree","Neutral","Information Clarity","Performance","Simplified Booking Process","Personalization","Easy Navigation",""
"2024/05/04 3:36:37 PM GMT+1","Female","26-35","Rarely","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Easy Navigation","Information Clarity","Performance","Simplified Booking Process","Personalization","N/A"
"2024/05/04 3:36:38 PM GMT+1","Male","26-35","Rarely","Very easy","Somewhat satisfied","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Likely","Information Clarity","Performance","Simplified Booking Process","Easy Navigation","Personalization",""
"2024/05/04 3:36:42 PM GMT+1","Male","18-25","Rarely","Very easy","Extremely satisfied","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Neutral","Agree","Likely","Information Clarity","Simplified Booking Process","Performance","Easy Navigation","Personalization","Treated With Tolerance"
"2024/05/04 3:36:52 PM GMT+1","Female","18-25","Frequently","Very easy","Somewhat satisfied","Strongly Agree","Agree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Neutral","Highly likely","Information Clarity","Performance","Simplified Booking Process","Easy Navigation","Personalization","Improve speed"
"2024/05/04 3:37:21 PM GMT+1","Female","18-25","Rarely","Very easy","Somewhat satisfied","Agree","Agree","Disagree","Agree","Neutral","Agree","Agree","Strongly Agree","Highly likely","Easy Navigation","Information Clarity","Performance","Simplified Booking Process","Personalization",""
"2024/05/04 3:40:56 PM GMT+1","Female","26-35","Rarely","Somewhat easy","Somewhat satisfied","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Neutral","Easy Navigation","Personalization","Performance","Simplified Booking Process","Information Clarity","It should be easy to use.."
"2024/06/15 10:57:41 AM GMT+1","Male","26-35","Frequently","Very difficult","Extremely dissatisfied","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Unlikely","Easy Navigation","Simplified Booking Process","Information Clarity","Performance","Personalization","Try to give user friendly design to book the flight ticket."
"2024/06/17 1:52:33 PM GMT+1","Male","26-35","Frequently","Somewhat difficult","Somewhat dissatisfied","Neutral","Neutral","Agree","Strongly Agree","Agree","Agree","Agree","Neutral","Highly unlikely","Simplified Booking Process","Personalization","Performance","Information Clarity","Easy Navigation",""
"2024/06/18 11:23:49 AM GMT+1","Male","36-45","Rarely","Somewhat easy","Somewhat satisfied","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Unlikely","Easy Navigation","Information Clarity","Performance","Simplified Booking Process","Personalization",""
